fileName,startTime,endTime,fileLength,fileSize,deltaTime
s09341-3449-03-03-10-41n.hea.csv,10:41:49 03/03/3449,10:30:49 15/03/3449,17270,2360,1429
s09341-3449-03-19-09-04n.hea.csv,09:04:49 19/03/3449,10:52:49 26/03/3449,10189,1376,24372
s09358-2679-06-24-18-03n.hea.csv,18:03:06 24/06/2679,13:47:06 25/06/2679,1185,184,-39
s09361-2730-11-06-23-46n.hea.csv,23:46:10 06/11/2730,17:33:10 07/11/2730,1068,120,-974
s09361-2730-11-07-17-38n.hea.csv,17:38:07 07/11/2730,14:38:07 08/11/2730,1261,180,98
s09372-3085-09-30-18-50n.hea.csv,18:50:05 30/09/3085,21:22:05 02/10/3085,3033,364,12785
s09372-3085-10-03-00-15n.hea.csv,00:15:05 03/10/3085,15:41:05 06/10/3085,5247,636,15990
s09389-3058-01-27-02-30n.hea.csv,02:30:12 27/01/3058,22:16:12 01/02/3058,8387,1040,158
s09393-3312-03-26-10-40n.hea.csv,10:40:19 26/03/3312,11:17:19 06/04/3312,15878,1720,719554
s09393-3312-04-12-18-47n.hea.csv,18:47:15 12/04/3312,21:55:15 14/04/3312,3069,488,744521
s09425-2585-04-11-14-36n.hea.csv,14:36:23 11/04/2585,11:27:23 12/04/2585,1252,156,334
s09426-3347-05-04-14-20n.hea.csv,14:20:58 04/05/3347,19:46:58 11/05/3347,10407,1160,1433
s09430-2768-08-27-19-43n.hea.csv,19:43:00 27/08/2768,15:49:00 28/08/2768,1207,192,382
s09434-2811-02-18-15-23n.hea.csv,15:23:24 18/02/2811,03:08:24 19/02/2811,706,80,811119
s09486-3328-10-07-10-45n.hea.csv,10:45:32 07/10/3328,13:27:32 07/10/3328,163,28,-105
s09486-3328-10-07-16-09n.hea.csv,16:09:32 07/10/3328,14:22:32 11/10/3328,5654,932,219
s09526-2577-10-24-02-12n.hea.csv,02:12:02 24/10/2577,13:00:02 24/10/2577,649,52,61
s09575-3263-07-04-15-08n.hea.csv,15:08:10 04/07/3263,13:24:10 05/07/3263,1337,224,149
s09575-3263-07-05-21-39n.hea.csv,21:39:10 05/07/3263,17:46:10 09/07/3263,5528,928,1980
s09593-2939-07-23-18-20n.hea.csv,18:20:42 23/07/2939,16:08:42 27/07/2939,5629,940,264
s09593-2939-07-29-13-16n.hea.csv,13:16:47 29/07/2939,13:29:47 30/07/2939,1454,240,8600
s09593-2939-07-30-14-52n.hea.csv,14:52:47 30/07/2939,13:00:47 07/08/2939,11409,1840,10136
s09593-2939-08-07-16-42n.hea.csv,16:42:47 07/08/2939,17:16:47 07/08/2939,35,8,21766
s09595-3125-10-14-20-39n.hea.csv,20:39:19 14/10/3125,16:59:19 21/10/3125,9861,1200,-10066
s09595-3125-10-21-21-26n.hea.csv,21:26:19 21/10/3125,01:43:19 23/10/3125,1698,212,61
s09615-2528-10-08-12-28n.hea.csv,12:28:11 08/10/2528,10:32:11 12/10/2528,5645,756,152
s09630-2752-03-01-10-42n.hea.csv,10:42:02 01/03/2752,09:10:02 02/03/2752,1349,148,-4735
s09630-2752-03-02-10-17n.hea.csv,10:17:02 02/03/2752,21:24:02 03/03/2752,2108,232,-3320
s09630-2752-03-04-17-34n.hea.csv,17:34:02 04/03/2752,16:07:02 05/03/2752,1354,148,-3
s09630-2752-03-05-17-14n.hea.csv,17:14:02 05/03/2752,19:09:02 05/03/2752,116,16,1417
s09642-2807-07-08-15-03n.hea.csv,15:03:31 08/07/2807,16:39:31 08/07/2807,97,16,243
s09648-3037-09-01-11-27n.hea.csv,11:27:00 01/09/3037,11:14:00 07/09/3037,8628,1076,29235
s09648-3037-09-15-17-09n.hea.csv,17:09:00 15/09/3037,19:59:00 22/09/3037,10251,1204,49737
